 
# Numero de nodos n =16 
0 -0.98 0.0399840064 -12.73457366 12.77455767
1 -0.969 0.04085964609 -14.32149015 14.3623498
2 -0.958 0.04176394185 -13.80519608 13.84696002
3 -0.947 0.04269813804 -12.10328946 12.1459876
4 -0.936 0.04366354618 -9.851827327 9.895490873
5 -0.925 0.0446615492 -7.473921949 7.518583498
6 -0.914 0.04569360609 -5.23449615 5.280189756
7 -0.903 0.0467612569 -3.2835499 3.330311157
8 -0.892 0.04786612801 -1.689951949 1.737818077
9 -0.881 0.04900993799 -0.4674729419 0.5164828799
10 -0.87 0.0501945037 0.4054838671 0.3552893634
11 -0.859 0.05142174703 0.9712254515 0.9198037045
12 -0.848 0.05269370205 1.28215416 1.229460458
13 -0.837 0.0540125228 1.393335195 1.339322672
14 -0.826 0.05538049167 1.3575342 1.302153708
15 -0.815 0.0568000284 1.222139659 1.16533963
16 -0.804 0.05827369991 1.027493342 0.9692196426
17 -0.793 0.05980423085 0.8062443269 0.746440096
18 -0.782 0.06139451501 0.5834201226 0.5220256076
19 -0.771 0.06304762775 0.3769740264 0.3139263986
20 -0.76 0.06476683938 0.1986224598 0.1338556204
21 -0.749 0.06655562969 0.05483129964 0.01172433005
22 -0.738 0.06841770377 -0.05215272831 0.1205704321
23 -0.727 0.07035700905 -0.1232994562 0.1936564652
24 -0.716 0.07237775397 -0.1618712775 0.2342490314
25 -0.705 0.0744844281 -0.1726085584 0.2470929865
26 -0.694 0.07668182411 -0.1610405769 0.237722401
27 -0.683 0.07897506165 -0.1329270024 0.211902064
28 -0.672 0.08136961333 -0.09382679801 0.1751964113
29 -0.661 0.08387133299 -0.04878573357 0.1326570666
30 -0.65 0.08648648649 -0.002129975969 0.08861646246
31 -0.639 0.08922178528 0.04264892233 0.04657286295
32 -0.628 0.092084423 0.08293323233 0.009151190669
33 -0.617 0.09508211529 0.1169580271 0.02187591181
34 -0.606 0.09822314334 0.1437447839 0.04552164061
35 -0.595 0.1015164012 0.1630032569 0.06148685565
36 -0.584 0.1049714478 0.1750137386 0.07004229081
37 -0.573 0.1085985627 0.18050012 0.07190155729
38 -0.562 0.1124088084 0.1805023732 0.06809356487
39 -0.551 0.1164140966 0.1762553125 0.05984121587
40 -0.54 0.1206272618 0.1690787969 0.04845153511
41 -0.529 0.1250621403 0.1602829758 0.03522083559
42 -0.518 0.1297336568 0.1510907716 0.02135711478
43 -0.507 0.1346579184 0.1425785717 0.007920653261
44 -0.496 0.139852316 0.1356350704 0.004217245548
45 -0.485 0.1453356345 0.1309373586 0.01439827593
46 -0.474 0.1511281718 0.1289427075 0.02218546429
47 -0.463 0.1572518664 0.1298940205 0.02735784584
48 -0.452 0.1637304342 0.1338366117 0.02989382248
49 -0.441 0.1705895147 0.1406438096 0.0299457051
50 -0.43 0.1778568253 0.150048847 0.02780797824
51 -0.419 0.1855623234 0.1616805718 0.0238817516
52 -0.408 0.1937383757 0.1751006764 0.01863769925
53 -0.397 0.2024199303 0.1898403762 0.01257955403
54 -0.386 0.2116446909 0.2054347517 0.006209939229
55 -0.375 0.2214532872 0.2214532872 0
56 -0.364 0.2318894351 0.2375254765 0.005636041348
57 -0.353 0.243000079 0.253360704 0.01036062498
58 -0.342 0.2548355037 0.2687619456 0.01392644194
59 -0.331 0.2674494019 0.2836331443 0.01618374236
60 -0.32 0.2808988764 0.2979804013 0.01708152491
61 -0.309 0.2952443516 0.3119073782 0.0166630266
62 -0.298 0.3105493618 0.3256055136 0.01505615176
63 -0.287 0.3268801739 0.339339832 0.0124596581
64 -0.276 0.3443051921 0.353431247 0.009126054849
65 -0.265 0.3628940803 0.3682363432 0.005342262883
66 -0.254 0.3827165219 0.3841256625 0.001409140633
67 -0.243 0.4038405234 0.4014615178 0.002379005547
68 -0.232 0.4263301501 0.4205763205 0.005753829597
69 -0.221 0.4502425682 0.4417523366 0.00849023159
70 -0.21 0.4756242568 0.4652036885 0.0104205683
71 -0.199 0.5025062499 0.4910612948 0.01144495513
72 -0.188 0.5308982799 0.5193613025 0.01153697741
73 -0.177 0.5607817297 0.5500374139 0.01074431581
74 -0.166 0.5921013678 0.5829173503 0.009184017495
75 -0.155 0.6247559547 0.6177235351 0.007032419625
76 -0.144 0.6585879874 0.6540779248 0.004510062562
77 -0.133 0.6933730867 0.6915107648 0.001862321946
78 -0.122 0.7288098535 0.7294729153 0.0006630618311
79 -0.111 0.7645113817 0.7673512728 0.002839891152
80 -0.1 0.8 0.8044867117 0.004486711701
81 -0.089 0.8347071221 0.8401938961 0.005486773929
82 -0.078 0.8679802101 0.873782254 0.005802043999
83 -0.067 0.8990986536 0.9045773791 0.005478725545
84 -0.056 0.9272997033 0.9319421165 0.004642413221
85 -0.045 0.9518143962 0.9552966108 0.003482214598
86 -0.034 0.9719117504 0.9741366343 0.002224883918
87 -0.023 0.9869476178 0.9880495761 0.001101958394
88 -0.012 0.9964129135 0.9967275559 0.0003146424253
89 -0.001 0.9999750006 0.9999772244 2.223799556E-06
90 0.01 0.9975062344 0.997725924 0.0002196895826
91 0.021 0.9890952251 0.9900240049 0.0009287797153
92 0.032 0.9750390016 0.9770432199 0.002004218356
93 0.043 0.9558173433 0.9590712516 0.003253908313
94 0.054 0.9320533134 0.9365025525 0.004449239079
95 0.065 0.9044657999 0.9098258044 0.00536000454
96 0.076 0.8738203425 0.8796084147 0.005788072113
97 0.087 0.8408837688 0.8464785695 0.005594800661
98 0.098 0.8063865817 0.8111054499 0.004718868161
99 0.109 0.770995162 0.774178281 0.003183118952
100 0.12 0.7352941176 0.7363849331 0.001090815477
101 0.131 0.6997778205 0.6983908147 0.001387005817
102 0.142 0.6648494116 0.6608187954 0.0040306162
103 0.153 0.6308252772 0.6242308737 0.006594403438
104 0.164 0.5979430758 0.5891122524 0.0088308234
105 0.175 0.5663716814 0.5558584112 0.01051327026
106 0.186 0.5362217813 0.5247656712 0.01145611012
107 0.197 0.5075562436 0.4960256306 0.01153061294
108 0.208 0.4803996925 0.4697237169 0.01067597567
109 0.219 0.4547469901 0.4458419573 0.008905032838
110 0.23 0.4305705059 0.4242659138 0.006304592071
111 0.241 0.4078261845 0.4047955678 0.003030616686
112 0.252 0.3864584944 0.3871597817 0.0007012872974
113 0.263 0.3664043822 0.3710338113 0.004629429057
114 0.274 0.3475963711 0.3560591985 0.008462827456
115 0.285 0.3299649412 0.3418652499 0.01190030864
116 0.296 0.313440321 0.3280912004 0.01465087944
117 0.307 0.2979538023 0.3144080896 0.01645428733
118 0.318 0.283438678 0.3005393276 0.01710064958
119 0.329 0.2698308835 0.2862789257 0.01644804222
120 0.34 0.2570694087 0.2715063949 0.01443698616
121 0.351 0.2450965374 0.2561973925 0.01110085506
122 0.362 0.2338579547 0.2404293137 0.006571359009
123 0.373 0.2233027595 0.224381189 0.0010784295
124 0.384 0.2133834073 0.2083274511 0.005055956244
125 0.395 0.2040556052 0.1926253826 0.01143022251
126 0.406 0.1952781738 0.1776963338 0.01758183992
127 0.417 0.1870128899 0.1640011089 0.02301178095
128 0.428 0.1792243172 0.1520102503 0.02721406685
129 0.439 0.1718796327 0.1421702886 0.02970934411
130 0.45 0.1649484536 0.134867365 0.03008108864
131 0.461 0.1584026675 0.1303899559 0.02801271165
132 0.472 0.1522162689 0.1288927207 0.02332354818
133 0.483 0.1463652031 0.1303637378 0.01600146537
134 0.494 0.1408272191 0.1345975696 0.006229649516
135 0.505 0.1355817304 0.1411766906 0.00559496022
136 0.516 0.130609686 0.1494637959 0.01885410984
137 0.527 0.1258934501 0.1586073698 0.03271391968
138 0.538 0.1214166899 0.1675626111 0.04614592113
139 0.549 0.1171642731 0.1751293669 0.05796509385
140 0.56 0.1131221719 0.1800081089 0.06688593696
141 0.571 0.109277376 0.1808741787 0.07159680271
142 0.582 0.1056178114 0.1764695343 0.0708517229
143 0.593 0.1021322664 0.1657100358 0.06357776941
144 0.604 0.0988103237 0.147804941 0.04899461732
145 0.615 0.09564229781 0.1223837399 0.02674144205
146 0.626 0.09261917773 0.08962378863 0.002995389095
147 0.637 0.08973257449 0.05037044365 0.03936213084
148 0.648 0.08697467298 0.006239607288 0.08073506569
149 0.659 0.0843381877 -0.04030913148 0.1246473192
150 0.67 0.08181632236 -0.08594215046 0.1677584728
151 0.681 0.07940273265 -0.1264789072 0.2058816399
152 0.692 0.07709149218 -0.1569919979 0.2340834901
153 0.703 0.07487706123 -0.1719958159 0.2468728771
154 0.714 0.07275425794 -0.1657387379 0.2384929959
155 0.725 0.07071823204 -0.1326118683 0.2033301003
156 0.736 0.06876444053 -0.06768396257 0.1364484031
157 0.747 0.06688862542 0.03263314722 0.0342554782
158 0.758 0.06508679324 0.169791958 0.1047051648
159 0.769 0.06335519616 0.3422033828 0.2788481866
160 0.78 0.06169031462 0.5442453633 0.4825550487
161 0.791 0.06008884135 0.7652319979 0.7051431565
162 0.802 0.05854766658 0.9884122559 0.9298645893
163 0.813 0.05706386445 1.19009625 1.133032385
164 0.824 0.05563468043 1.33904275 1.28340807
165 0.835 0.05425751975 1.396285291 1.342027771
166 0.846 0.05292993664 1.31562705 1.262697113
167 0.857 0.05164962444 1.045098165 0.9934485409
168 0.868 0.05041440642 0.5297447763 0.4793303699
169 0.879 0.04922222728 -0.2837913817 0.3330136089
170 0.89 0.0480711453 -1.440338558 1.488409703
171 0.901 0.04695932501 -2.966218081 3.013177406
172 0.912 0.04588503047 -4.855393511 4.901278542
173 0.923 0.04484661896 -7.050747628 7.095594247
174 0.934 0.04384253515 -9.419296432 9.463138967
175 0.945 0.0428713057 -11.71992773 11.76279903
176 0.956 0.04193153419 -13.56199779 13.60392933
177 0.967 0.04102189646 -14.35282939 14.39385129
178 0.978 0.04014113624 -13.23182369 13.27196482
179 0.989 0.03928806105 -8.988523325 9.027811386
180 1 0.03846153846 0.03846153845 9.6546382E-12
