# Numero de nodos n =32 
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
0 -0.989 -1 1511.613302 1512.613302
1 -0.978 -1 1399.517302 1400.517302
2 -0.967 -1 879.5405539 880.5405539
3 -0.956 -1 411.5154884 412.5154884
4 -0.945 -1 112.4164115 113.4164115
5 -0.934 -1 -34.10617217 33.10617217
6 -0.923 -1 -80.15894461 79.15894461
7 -0.912 -1 -74.15192152 73.15192152
8 -0.901 -1 -49.28638496 48.28638496
9 -0.89 -1 -23.88540809 22.88540809
10 -0.879 -1 -5.548452368 4.548452368
11 -0.868 -1 4.448570633 5.448570633
12 -0.857 -1 7.791358784 8.791358784
13 -0.846 -1 7.006588522 8.006588522
14 -0.835 -1 4.357462859 5.357462859
15 -0.824 -1 1.425623317 2.425623317
16 -0.813 -1 -0.9145469998 0.08545300016
17 -0.802 -1 -2.342458312 1.342458312
18 -0.791 -1 -2.891287476 1.891287476
19 -0.78 -1 -2.770759012 1.770759012
20 -0.769 -1 -2.239533188 1.239533188
21 -0.758 -1 -1.529199948 0.5291999484
22 -0.747 -1 -0.8100307277 0.1899692723
23 -0.736 -1 -0.1850679523 0.8149320477
24 -0.725 -1 0.2998847237 1.299884724
25 -0.714 -1 0.6398567347 1.639856735
26 -0.703 -1 0.8540431586 1.854043159
27 -0.692 1 0.9721488747 0.02785112528
28 -0.681 1 1.024909053 0.02490905275
29 -0.67 1 1.038629815 0.03862981457
30 -0.659 1 1.032923496 0.03292349648
31 -0.648 1 1.020607106 0.02060710566
32 -0.637 1 1.008809459 0.008809459087
33 -0.626 1 1.000546702 0.0005467019948
34 -0.615 1 0.9962758418 0.003724158155
35 -0.604 1 0.9951607878 0.00483921224
36 -0.593 1 0.9959566026 0.00404339737
37 -0.582 1 0.9975290282 0.00247097181
38 -0.571 1 0.9990848428 0.0009151571631
39 -0.56 1 1.000207355 0.0002073545335
40 -0.549 1 1.000784556 0.0007845561001
41 -0.538 1 1.000897626 0.0008976262456
42 -0.527 1 1.00071386 0.0007138601434
43 -0.516 1 1.000406698 0.0004066984244
44 -0.505 1 1.000109287 0.0001092870236
45 -0.494 1 0.999897727 0.0001022730278
46 -0.483 1 0.9997952349 0.0002047650626
47 -0.472 1 0.9997874931 0.0002125069052
48 -0.461 1 0.9998410028 0.0001589971697
49 -0.45 1 0.9999189185 8.108153843E-05
50 -0.439 1 0.9999916143 8.385654856E-06
51 -0.428 1 1.00004151 4.150950994E-05
52 -0.417 1 1.000063165 6.316486429E-05
53 -0.406 1 1.000060368 6.036813705E-05
54 -0.395 1 1.000041983 4.198302821E-05
55 -0.384 1 1.000017985 1.798547934E-05
56 -0.373 1 0.9999965673 3.432706838E-06
57 -0.362 1 0.9999826386 1.736140016E-05
58 -0.351 1 0.9999776256 2.237444581E-05
59 -0.34 1 0.9999801933 1.980668638E-05
60 -0.329 1 0.999987428 1.257196748E-05
61 -0.318 1 0.9999960513 3.948738545E-06
62 -0.307 1 1.000003364 3.363673517E-06
63 -0.296 1 1.00000777 7.769714891E-06
64 -0.285 1 1.000008877 8.877027878E-06
65 -0.274 1 1.000007267 7.26671557E-06
66 -0.263 1 1.000004082 4.081718906E-06
67 -0.252 1 1.000000583 5.834105146E-07
68 -0.241 1 0.9999977941 2.205908323E-06
69 -0.23 1 0.9999962918 3.708239065E-06
70 -0.219 1 0.9999961694 3.830589419E-06
71 -0.208 1 0.9999971289 2.871090518E-06
72 -0.197 1 0.9999986529 1.347051067E-06
73 -0.186 1 1.000000194 1.935356961E-07
74 -0.175 1 1.000001325 1.325019054E-06
75 -0.164 1 1.00000183 1.830453251E-06
76 -0.153 1 1.000001713 1.713401716E-06
77 -0.142 1 1.000001148 1.148473982E-06
78 -0.131 1 1.000000396 3.959056514E-07
79 -0.12 1 0.9999997106 2.893597848E-07
80 -0.109 1 0.9999992714 7.286354275E-07
81 -0.098 1 0.9999991457 8.542678873E-07
82 -0.087 1 0.9999992937 7.063274823E-07
83 -0.076 1 0.9999996019 3.981011832E-07
84 -0.065 1 0.9999999339 6.60815197E-08
85 -0.054 1 1.000000178 1.777084706E-07
86 -0.043 1 1.000000278 2.78408756E-07
87 -0.032 1 1.000000246 2.457489363E-07
88 -0.021 1 1.000000139 1.391777771E-07
89 -0.01 1 1.000000036 3.64802859E-08
90 0.001 1 1.000000001 6.713412048E-10
91 0.012 1 1.000000051 5.138095571E-08
92 0.023 1 1.000000161 1.60645065E-07
93 0.034 1 1.000000259 2.592201171E-07
94 0.045 1 1.000000272 2.717183012E-07
95 0.056 1 1.000000144 1.435645356E-07
96 0.067 1 0.9999998766 1.23384209E-07
97 0.078 1 0.999999541 4.589830281E-07
98 0.089 1 0.9999992511 7.489233732E-07
99 0.1 1 0.9999991462 8.537544717E-07
100 0.111 1 0.9999993281 6.719490714E-07
101 0.122 1 0.9999998215 1.784743687E-07
102 0.133 1 1.000000535 5.351475107E-07
103 0.144 1 1.000001274 1.274065301E-06
104 0.155 1 1.000001772 1.772341785E-06
105 0.166 1 1.00000179 1.790388479E-06
106 0.177 1 1.000001162 1.162214043E-06
107 0.188 1 0.999999931 6.899916305E-08
108 0.199 1 0.9999983592 1.640756027E-06
109 0.21 1 0.9999968956 3.104394625E-06
110 0.221 1 0.9999961051 3.894879927E-06
111 0.232 1 0.9999964759 3.524109139E-06
112 0.243 1 0.9999982182 1.781817333E-06
113 0.254 1 1.0000012 1.200253368E-06
114 0.265 1 1.000004728 4.728113828E-06
115 0.276 1 1.000007723 7.723326508E-06
