# Numero de nodos n =4+1
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
0 -0.989 -1 -0.8991745084 0.1008254916
1 -0.978 -1 -0.801975046 0.198024954
2 -0.967 -1 -0.7083178345 0.2916821655
3 -0.956 -1 -0.6181200323 0.3818799677
4 -0.945 -1 -0.531299735 0.468700265
5 -0.934 -1 -0.4477759753 0.5522240247
6 -0.923 -1 -0.3674687228 0.6325312772
7 -0.912 -1 -0.2902988841 0.7097011159
8 -0.901 -1 -0.2161883029 0.7838116971
9 -0.89 -1 -0.14505976 0.85494024
10 -0.879 -1 -0.07683697302 0.923163027
11 -0.868 -1 -0.01144459674 0.9885554033
12 -0.857 -1 0.05119177706 1.051191777
13 -0.846 -1 0.1111456196 1.11114562
14 -0.835 -1 0.168489465 1.168489465
15 -0.824 -1 0.2232949105 1.22329491
16 -0.813 -1 0.2756326161 1.275632616
17 -0.802 -1 0.325572305 1.325572305
18 -0.791 -1 0.3731827633 1.373182763
19 -0.78 -1 0.41853184 1.41853184
20 -0.769 -1 0.4616864471 1.461686447
21 -0.758 -1 0.5027125597 1.50271256
22 -0.747 -1 0.5416752158 1.541675216
23 -0.736 -1 0.5786385162 1.578638516
24 -0.725 -1 0.613665625 1.613665625
25 -0.714 -1 0.646818769 1.646818769
26 -0.703 -1 0.6781592382 1.678159238
27 -0.692 1 0.7077473853 0.2922526147
28 -0.681 1 0.7356426263 0.2643573737
29 -0.67 1 0.76190344 0.23809656
30 -0.659 1 0.7865873681 0.2134126319
31 -0.648 1 0.8097510154 0.1902489846
32 -0.637 1 0.8314500497 0.1685499503
33 -0.626 1 0.8517392017 0.1482607983
34 -0.615 1 0.870672265 0.129327735
35 -0.604 1 0.8883020964 0.1116979036
36 -0.593 1 0.9046806155 0.09531938454
37 -0.582 1 0.9198588049 0.08014119514
38 -0.571 1 0.9338867102 0.06611328982
39 -0.56 1 0.94681344 0.05318656
40 -0.549 1 0.9586871659 0.04131283414
41 -0.538 1 0.9695551223 0.0304448777
42 -0.527 1 0.9794636068 0.02053639318
43 -0.516 1 0.9884579799 0.0115420201
44 -0.505 1 0.996582665 0.003417335
45 -0.494 1 1.003881149 0.003881148544
46 -0.483 1 1.01039598 0.01039597994
47 -0.472 1 1.016168772 0.01616877158
48 -0.461 1 1.021240199 0.02124019882
49 -0.45 1 1.02565 0.02565
50 -0.439 1 1.029436976 0.02943697642
51 -0.428 1 1.032638992 0.03263899238
52 -0.417 1 1.035292975 0.03529297514
53 -0.406 1 1.037434915 0.03743491494
54 -0.395 1 1.039099865 0.039099865
55 -0.384 1 1.040321942 0.0403219415
56 -0.373 1 1.041134324 0.04113432362
57 -0.362 1 1.041569254 0.0415692535
58 -0.351 1 1.041658036 0.04165803626
59 -0.34 1 1.04143104 0.04143104
60 -0.329 1 1.040917696 0.04091769578
61 -0.318 1 1.040146498 0.04014649766
62 -0.307 1 1.039145003 0.03914500266
63 -0.296 1 1.037939831 0.03793983078
64 -0.285 1 1.036556665 0.036556665
65 -0.274 1 1.035020251 0.03502025126
66 -0.263 1 1.033354399 0.0333543985
67 -0.252 1 1.031581979 0.03158197862
68 -0.241 1 1.029724927 0.0297249265
69 -0.23 1 1.02780424 0.02780424
70 -0.219 1 1.02583998 0.02583997994
71 -0.208 1 1.02385127 0.02385127014
72 -0.197 1 1.021856297 0.02185629738
73 -0.186 1 1.019872311 0.01987231142
74 -0.175 1 1.017915625 0.017915625
75 -0.164 1 1.016001614 0.01600161382
76 -0.153 1 1.014144717 0.01414471658
77 -0.142 1 1.012358435 0.01235843494
78 -0.131 1 1.010655334 0.01065533354
79 -0.12 1 1.00904704 0.00904704
80 -0.109 1 1.007544245 0.007544244904
81 -0.098 1 1.006156702 0.006156701824
82 -0.087 1 1.004893227 0.004893227304
83 -0.076 1 1.003761701 0.003761700864
84 -0.065 1 1.002769065 0.002769065
85 -0.054 1 1.001921325 0.001921325184
86 -0.043 1 1.00122355 0.001223549864
87 -0.032 1 1.00067987 0.000679870464
88 -0.021 1 1.000293481 0.000293481384
89 -0.01 1 1.00006664 6.664E-05
90 0.001 1 1.000000667 6.666639996E-07
91 0.012 1 1.000095945 9.5944704E-05
92 0.023 1 1.00035192 0.000351920424
93 0.034 1 1.000767103 0.000767103104
94 0.045 1 1.001339065 0.001339065
95 0.056 1 1.002064441 0.002064441344
96 0.067 1 1.00293893 0.002938930344
97 0.078 1 1.003957293 0.003957293184
98 0.089 1 1.005113354 0.005113354024
99 0.1 1 1.0064 0.0064
100 0.111 1 1.007809181 0.007809181224
101 0.122 1 1.009331911 0.009331910784
102 0.133 1 1.010958265 0.01095826474
103 0.144 1 1.012677382 0.01267738214
104 0.155 1 1.014477465 0.014477465
105 0.166 1 1.016345778 0.0163457783
106 0.177 1 1.01826865 0.01826865002
107 0.188 1 1.020231471 0.0202314711
108 0.199 1 1.022218695 0.02221869546
109 0.21 1 1.02421384 0.02421384
110 0.221 1 1.026199485 0.02619948458
111 0.232 1 1.028157272 0.02815727206
112 0.243 1 1.030067908 0.03006790826
113 0.254 1 1.031911162 0.03191116198
114 0.265 1 1.033665865 0.033665865
115 0.276 1 1.035309912 0.03530991206
116 0.287 1 1.036820261 0.0368202609
117 0.298 1 1.038172932 0.03817293222
118 0.309 1 1.03934301 0.0393430097
119 0.32 1 1.04030464 0.04030464
120 0.331 1 1.041031033 0.04103103274
121 0.342 1 1.041494461 0.04149446054
122 0.353 1 1.041666259 0.04166625898
123 0.364 1 1.041516827 0.04151682662
124 0.375 1 1.041015625 0.041015625
125 0.386 1 1.040131179 0.04013117862
126 0.397 1 1.038831075 0.03883107498
127 0.408 1 1.037081965 0.03708196454
128 0.419 1 1.034849561 0.03484956074
129 0.43 1 1.03209864 0.03209864
130 0.441 1 1.028793042 0.0287930417
131 0.452 1 1.024895668 0.02489566822
132 0.463 1 1.020368485 0.0203684849
133 0.474 1 1.01517252 0.01517252006
134 0.485 1 1.009267865 0.009267865
135 0.496 1 1.002613674 0.002613673984
136 0.507 1 0.9951681643 0.004831835736
137 0.518 1 0.9868886161 0.01311138394
138 0.529 1 0.9777313726 0.02226862742
139 0.54 1 0.96765184 0.03234816
140 0.551 1 0.9566044875 0.04339551254
141 0.562 1 0.9445428471 0.0554571529
142 0.573 1 0.931419514 0.06858048598
143 0.584 1 0.9171861463 0.0828138537
144 0.595 1 0.901793465 0.098206535
145 0.606 1 0.8851912541 0.1148087459
146 0.617 1 0.8673283607 0.1326716393
147 0.628 1 0.8481526948 0.1518473052
148 0.639 1 0.8276112292 0.1723887708
149 0.65 1 0.80565 0.19435
150 0.661 1 0.782214106 0.217785894
151 0.672 1 0.7572477092 0.2427522908
152 0.683 1 0.7306940343 0.2693059657
153 0.694 1 0.7024953693 0.2975046307
154 0.705 -1 0.672593065 1.672593065
155 0.716 -1 0.6409275351 1.640927535
156 0.727 -1 0.6074382564 1.607438256
157 0.738 -1 0.5720637687 1.572063769
158 0.749 -1 0.5347416747 1.534741675
159 0.76 -1 0.49540864 1.49540864
160 0.771 -1 0.4540003934 1.454000393
161 0.782 -1 0.4104517265 1.410451726
162 0.793 -1 0.3646964939 1.364696494
163 0.804 -1 0.3166676132 1.316667613
164 0.815 -1 0.266297065 1.266297065
165 0.826 -1 0.2135158929 1.213515893
166 0.837 -1 0.1582542033 1.158254203
167 0.848 -1 0.1004411658 1.100441166
168 0.859 -1 0.0400050129 1.040005013
169 0.87 -1 -0.02312696 0.97687304
170 0.881 -1 -0.08902839446 0.9109716055
171 0.892 -1 -0.1577738691 0.8422261309
172 0.903 -1 -0.2294388994 0.7705611006
173 0.914 -1 -0.3040999382 0.6959000618
174 0.925 -1 -0.381834375 0.618165625
175 0.936 -1 -0.4627205366 0.5372794634
176 0.947 -1 -0.5468376866 0.4531623134
177 0.958 -1 -0.6342660259 0.3657339741
178 0.969 -1 -0.7250866921 0.2749133079
179 0.98 -1 -0.81938176 0.18061824
180 0.991 -1 -0.9172342415 0.0827657585


# Numero de nodos n =8 
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
0 -0.989 -1 -1.504169361 0.5041693606
1 -0.978 -1 -1.914732068 0.9147320679
2 -0.967 -1 -2.241410535 1.241410535
3 -0.956 -1 -2.493212726 1.493212726
4 -0.945 -1 -2.678470403 1.678470403
5 -0.934 -1 -2.804875947 1.804875947
6 -0.923 -1 -2.879517757 1.879517757
7 -0.912 -1 -2.908914288 1.908914288
8 -0.901 -1 -2.899046748 1.899046748
9 -0.89 -1 -2.855390489 1.855390489
10 -0.879 -1 -2.782945127 1.782945127
11 -0.868 -1 -2.68626342 1.68626342
12 -0.857 -1 -2.569478941 1.569478941
13 -0.846 -1 -2.436332573 1.436332573
14 -0.835 -1 -2.290197863 1.290197863
15 -0.824 -1 -2.134105252 1.134105252
16 -0.813 -1 -1.970765236 0.9707652359
17 -0.802 -1 -1.802590459 0.8025904589
18 -0.791 -1 -1.631716793 0.6317167929
19 -0.78 -1 -1.460023417 0.4600234166
20 -0.769 -1 -1.289151932 0.2891519317
21 -0.758 -1 -1.120524541 0.1205245406
22 -0.747 -1 -0.9553613152 0.04463868477
23 -0.736 -1 -0.7946965844 0.2053034156
24 -0.725 -1 -0.6393944669 0.3606055331
25 -0.714 -1 -0.4901635778 0.5098364222
26 -0.703 -1 -0.3475709329 0.6524290671
27 -0.692 1 -0.2120550797 1.21205508
28 -0.681 1 -0.08393847888 1.083938479
29 -0.67 1 0.03656083768 0.9634391623
30 -0.659 1 0.1493183076 0.8506816924
31 -0.648 1 0.2542925528 0.7457074472
32 -0.637 1 0.3515157437 0.6484842563
33 -0.626 1 0.4410845906 0.5589154094
34 -0.615 1 0.5231519367 0.4768480633
35 -0.604 1 0.5979189322 0.4020810678
36 -0.593 1 0.6656277642 0.3343722358
37 -0.582 1 0.7265549229 0.2734450771
38 -0.571 1 0.7810049805 0.2189950195
39 -0.56 1 0.8293048618 0.1706951382
40 -0.549 1 0.8717985862 0.1282014138
41 -0.538 1 0.9088424592 0.0911575408
42 -0.527 1 0.9408006947 0.05919930533
43 -0.516 1 0.9680414467 0.0319585533
44 -0.505 1 0.9909332325 0.009066767476
45 -0.494 1 1.009841727 0.00984172702
46 -0.483 1 1.02512691 0.02512691031
47 -0.472 1 1.03714055 0.03714055014
48 -0.461 1 1.046224001 0.04622400122
49 -0.45 1 1.052706304 0.052706304
50 -0.439 1 1.056902566 0.05690256587
51 -0.428 1 1.059112608 0.05911260807
52 -0.417 1 1.059619862 0.05961986202
53 -0.406 1 1.058690499 0.05869049917
54 -0.395 1 1.056572779 0.05657277889
55 -0.384 1 1.053496599 0.0534965993
56 -0.373 1 1.049673236 0.04967323626
57 -0.362 1 1.045295256 0.04529525628
58 -0.351 1 1.040536589 0.04053658938
59 -0.34 1 1.035552748 0.03555274836
60 -0.329 1 1.030481181 0.03048118137
61 -0.318 1 1.025441745 0.02544174496
62 -0.307 1 1.020537285 0.02053728539
63 -0.296 1 1.015854316 0.0158543161
64 -0.285 1 1.01146378 0.01146377982
65 -0.274 1 1.007421884 0.007421884158
66 -0.263 1 1.003771 0.003770999945
67 -0.252 1 1.000540612 0.0005406117785
68 -0.241 1 0.9977483109 0.002251689054
69 -0.23 1 0.995400821 0.00459917897
70 -0.219 1 0.993495047 0.006504952977
71 -0.208 1 0.9920191391 0.007980860887
72 -0.197 1 0.9909535627 0.009046437254
73 -0.186 1 0.9902721669 0.009727833083
74 -0.175 1 0.9899432431 0.01005675694
75 -0.164 1 0.9899305673 0.01006943269
76 -0.153 1 0.9901944193 0.009805580736
77 -0.142 1 0.9906925708 0.009307429218
78 -0.131 1 0.9913812388 0.00861876116
79 -0.12 1 0.9922159967 0.007784003349
80 -0.109 1 0.9931526379 0.006847362124
81 -0.098 1 0.994147989 0.005852011012
82 -0.087 1 0.9951606653 0.004839334662
83 -0.076 1 0.9961517668 0.003848233204
84 -0.065 1 0.9970855093 0.002914490711
85 -0.054 1 0.9979297889 0.002070211078
86 -0.043 1 0.9986566758 0.001343324238
87 -0.032 1 0.9992428348 0.0007571652287
88 -0.021 1 0.9996698718 0.0003301282437
89 -0.01 1 0.9999246026 7.539739591E-05
90 0.001 1 0.9999992445 7.555397329E-07
91 0.012 1 0.9998915279 0.0001084720972
92 0.023 1 0.9996047296 0.0003952704426
93 0.034 1 0.999147625 0.0008523750062
94 0.045 1 0.9985343621 0.001465637866
95 0.056 1 0.9977842558 0.002215744199
96 0.067 1 0.9969215044 0.003078495578
97 0.078 1 0.9959748303 0.004025169694
98 0.089 1 0.9949770453 0.005022954702
99 0.1 1 0.993964544 0.006035456
100 0.111 1 0.9929767272 0.007023272828
101 0.122 1 0.9920553583 0.007944641721
102 0.133 1 0.9912438566 0.008756143427
103 0.144 1 0.9905865305 0.009413469519
104 0.155 1 0.9901277555 0.009872244536
105 0.166 1 0.9899111009 0.01008889909
106 0.177 1 0.989978411 0.01002158901
107 0.188 1 0.9903688449 0.009631155098
108 0.199 1 0.9911178821 0.008882117904
109 0.21 1 0.9922562988 0.007743701225
110 0.221 1 0.9938091221 0.006190877913
111 0.232 1 0.995794569 0.004205431024
112 0.243 1 0.998222977 0.001777023013
113 0.254 1 1.001095735 0.00109573474
114 0.265 1 1.00440422 0.00440422017
115 0.276 1 1.008128755 0.00812875502
116 0.287 1 1.012237584 0.01223758448
