 # Numero de nodos n =4 
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
0 -0.989 0.03928806105 0.1621658903 0.1228778292
1 -0.978 0.04014113624 0.1238596052 0.08371846897
2 -0.967 0.04102189646 0.08851037605 0.04748847959
3 -0.956 0.04193153419 0.05603288134 0.01410134715
4 -0.945 0.0428713057 0.02634276469 0.01652854101
5 -0.934 0.04384253515 -0.0006433651854 0.04448590034
6 -0.923 0.04484661896 -0.02500793452 0.06985455348
7 -0.912 0.04588503047 -0.04683240446 0.09271743493
8 -0.901 0.04695932501 -0.06619727108 0.1131565961
9 -0.89 0.0480711453 -0.08318206537 0.1312532107
10 -0.879 0.04922222728 -0.09786535325 0.1470875805
11 -0.868 0.05041440642 -0.1103247356 0.160739142
12 -0.857 0.05164962444 -0.1206368481 0.1722864726
13 -0.846 0.05292993664 -0.1288773616 0.1818072982
14 -0.835 0.05425751975 -0.1351209815 0.1893785013
15 -0.824 0.05563468043 -0.1394414486 0.195076129
16 -0.813 0.05706386445 -0.1419115381 0.1989754026
17 -0.802 0.05854766658 -0.1426030607 0.2011507272
18 -0.791 0.06008884135 -0.1415868614 0.2016757028
19 -0.78 0.06169031462 -0.1389328207 0.2006231353
20 -0.769 0.06335519616 -0.1347098536 0.1980650497
21 -0.758 0.06508679324 -0.1289859102 0.1940727034
22 -0.747 0.06688862542 -0.1218279756 0.188716601
23 -0.736 0.06876444053 -0.1133020697 0.1820665102
24 -0.725 0.07071823204 -0.1034732474 0.1741914794
25 -0.714 0.07275425794 -0.09240559842 0.1651598564
26 -0.703 0.07487706123 -0.08016224751 0.1550393087
27 -0.692 0.07709149218 -0.06680535431 0.1438968465
28 -0.681 0.07940273265 -0.05239611337 0.131798846
29 -0.67 0.08181632236 -0.03699475419 0.1188110765
30 -0.659 0.0843381877 -0.02066054117 0.1049987289
31 -0.648 0.08697467298 -0.003451773645 0.09042644662
32 -0.637 0.08973257449 0.01457421412 0.07515836038
33 -0.626 0.09261917773 0.03336105294 0.05925812479
34 -0.615 0.09564229781 0.05285333871 0.04278895909
35 -0.604 0.0988103237 0.0729966324 0.0258136913
36 -0.593 0.1021322664 0.09373746004 0.00839480635
37 -0.582 0.1056178114 0.1150233128 0.009405501373
38 -0.571 0.109277376 0.1368026467 0.02752527072
39 -0.56 0.1131221719 0.1590248833 0.04590271133
40 -0.549 0.1171642731 0.1816404087 0.06447613558
41 -0.538 0.1214166899 0.2046005744 0.08318388445
42 -0.527 0.1258934501 0.2278576969 0.1019642468
43 -0.516 0.130609686 0.2513650578 0.1207553718
44 -0.505 0.1355817304 0.2750769037 0.1394951733
45 -0.494 0.1408272191 0.2989484463 0.1581212272
46 -0.483 0.1463652031 0.3229358625 0.1765706593
47 -0.472 0.1522162689 0.346996294 0.1947800252
48 -0.461 0.1584026675 0.371087848 0.2126851805
49 -0.45 0.1649484536 0.3951695963 0.2302211427
50 -0.439 0.1718796327 0.4192015761 0.2473219434
51 -0.428 0.1792243172 0.4431447895 0.2639204723
52 -0.417 0.1870128899 0.4669612038 0.279948314
53 -0.406 0.1952781738 0.4906137514 0.2953355777
54 -0.395 0.2040556052 0.5140663296 0.3100107245
55 -0.384 0.2133834073 0.537283801 0.3239003937
56 -0.373 0.2233027595 0.560231993 0.3369292335
57 -0.362 0.2338579547 0.5828776983 0.3490197436
58 -0.351 0.2450965374 0.6051886745 0.3600921371
59 -0.34 0.2570694087 0.6271336446 0.3700642359
60 -0.329 0.2698308835 0.6486822963 0.3788514128
61 -0.318 0.283438678 0.6698052825 0.3863666045
62 -0.307 0.2979538023 0.6904742214 0.3925204191
63 -0.296 0.313440321 0.7106616958 0.3972213749
64 -0.285 0.3299649412 0.7303412541 0.4003763129
65 -0.274 0.3475963711 0.7494874094 0.4018910383
66 -0.263 0.3664043822 0.7680756401 0.4016712579
67 -0.252 0.3864584944 0.7860823895 0.3996238951
68 -0.241 0.4078261845 0.8034850661 0.3956588816
69 -0.23 0.4305705059 0.8202620434 0.3896915375
70 -0.219 0.4547469901 0.83639266 0.3816456699
71 -0.208 0.4803996925 0.8518572197 0.3714575272
72 -0.197 0.5075562436 0.8666369912 0.3590807476
73 -0.186 0.5362217813 0.8807142082 0.3444924269
74 -0.175 0.5663716814 0.8940720698 0.3277003884
75 -0.164 0.5979430758 0.90669474 0.3087516641
76 -0.153 0.6308252772 0.9185673477 0.2877420705
77 -0.142 0.6648494116 0.9296759871 0.2648265755
78 -0.131 0.6997778205 0.9400077174 0.2402298969
79 -0.12 0.7352941176 0.949550563 0.2142564454
80 -0.109 0.770995162 0.9582935132 0.1872983512
81 -0.098 0.8063865817 0.9662265224 0.1598399407
82 -0.087 0.8408837688 0.9733405102 0.1324567414
83 -0.076 0.8738203425 0.9796273611 0.1058070186
84 -0.065 0.9044657999 0.9850799248 0.08061412493
85 -0.054 0.9320533134 0.9896920161 0.05763870263
86 -0.043 0.9558173433 0.9934584147 0.03764107142
87 -0.032 0.9750390016 0.9963748656 0.02133586407
88 -0.021 0.9890952251 0.9984380788 0.00934285363
89 -0.01 0.9975062344 0.9996457292 0.002139494781
90 0.001 0.9999750006 0.999996457 2.145639507E-05
91 0.012 0.9964129135 0.9994898674 0.003076953932
92 0.023 0.9869476178 0.9981265307 0.01117891298
93 0.034 0.9719117504 0.9959079822 0.02399623183
94 0.045 0.9518143962 0.9928367224 0.0410223262
95 0.056 0.9272997033 0.9889162167 0.06161651342
96 0.067 0.8990986536 0.9841508957 0.08505224209
97 0.078 0.8679802101 0.9785461551 0.110565945
98 0.089 0.8347071221 0.9721083555 0.1374012334
99 0.1 0.8 0.9648448229 0.1648448229
100 0.111 0.7645113817 0.956763848 0.1922524663
101 0.122 0.7288098535 0.9478746868 0.2190648333
102 0.133 0.6933730867 0.9381875603 0.2448144736
103 0.144 0.6585879874 0.9277136548 0.2691256674
104 0.155 0.6247559547 0.9164651212 0.2917091665
105 0.166 0.5921013678 0.9044550759 0.3123537081
106 0.177 0.5607817297 0.8916976002 0.3309158705
107 0.188 0.5308982799 0.8782077406 0.3473094607
108 0.199 0.5025062499 0.8640015084 0.3614952585
109 0.21 0.4756242568 0.8490958803 0.3734716234
110 0.221 0.4502425682 0.8335087978 0.3832662296
111 0.232 0.4263301501 0.8172591677 0.3909290177
112 0.243 0.4038405234 0.8003668619 0.3965263385
113 0.254 0.3827165219 0.782852717 0.4001361951
114 0.265 0.3628940803 0.7647385351 0.4018444548
115 0.276 0.3443051921 0.7460470832 0.401741891
116 0.287 0.3268801739 0.7268020933 0.3999219194
117 0.298 0.3105493618 0.7070282626 0.3964789008
118 0.309 0.2952443516 0.6867512534 0.3915069018
119 0.32 0.2808988764 0.6659976929 0.3850988165
120 0.331 0.2674494019 0.6447951736 0.3773457717
121 0.342 0.2548355037 0.6231722529 0.3683367493
122 0.353 0.243000079 0.6011584534 0.3581583744
123 0.364 0.2318894351 0.5787842626 0.3468948275
124 0.375 0.2214532872 0.5560811333 0.3346278461
125 0.386 0.2116446909 0.5330814832 0.3214367923
126 0.397 0.2024199303 0.5098186951 0.3073987648
127 0.408 0.1937383757 0.486327117 0.2925887413
128 0.419 0.1855623234 0.4626420619 0.2770797384
129 0.43 0.1778568253 0.4387998077 0.2609429825
130 0.441 0.1705895147 0.4148375978 0.2442480831
131 0.452 0.1637304342 0.3907936403 0.227063206
132 0.463 0.1572518664 0.3667071084 0.209455242
133 0.474 0.1511281718 0.3426181406 0.1914899688
134 0.485 0.1453356345 0.3185678402 0.1732322057
135 0.496 0.139852316 0.2945982759 0.1547459599
136 0.507 0.1346579184 0.2707524812 0.1360945628
137 0.518 0.1297336568 0.2470744548 0.117340798
138 0.529 0.1250621403 0.2236091603 0.09854702009
139 0.54 0.1206272618 0.2004025268 0.07977526502
140 0.551 0.1164140966 0.177501448 0.06108735137
141 0.562 0.1124088084 0.1549537829 0.0425449745
142 0.573 0.1085985627 0.1328083555 0.02420979281
143 0.584 0.1049714478 0.1111149551 0.00614350729
144 0.595 0.1015164012 0.08992433569 0.01159206555
145 0.606 0.09822314334 0.06928821669 0.02893492665
146 0.617 0.09508211529 0.0492592824 0.04582283289
147 0.628 0.092084423 0.02989118225 0.06219324075
148 0.639 0.08922178528 0.01123853074 0.07798325455
149 0.65 0.08648648649 -0.006643092557 0.09312957904
150 0.661 0.08387133299 -0.02369714298 0.107568476
151 0.672 0.08136961333 -0.0398661108 0.1212357241
152 0.683 0.07897506165 -0.05509152123 0.1340665829
153 0.694 0.07668182411 -0.06931393437 0.1459957585
154 0.705 0.0744844281 -0.08247294528 0.1569573734
155 0.716 0.07237775397 -0.09450718392 0.1668849379
156 0.727 0.07035700905 -0.1053543152 0.1757113242
157 0.738 0.06841770377 -0.1149510389 0.1833687427
158 0.749 0.06655562969 -0.1232330898 0.1897887195
159 0.76 0.06476683938 -0.1301352376 0.194902077
160 0.771 0.06304762775 -0.1355912868 0.1986389145
161 0.782 0.06139451501 -0.139534077 0.200928592
162 0.793 0.05980423085 -0.1418954826 0.2016997134
163 0.804 0.05827369991 -0.1426064129 0.2008801128
164 0.815 0.0568000284 -0.1415968123 0.1983968407
165 0.826 0.05538049167 -0.13879566 0.1941761517
166 0.837 0.0540125228 -0.1341309702 0.188143493
167 0.848 0.05269370205 -0.1275297918 0.1802234938
168 0.859 0.05142174703 -0.1189182088 0.1703399559
169 0.87 0.0501945037 -0.1082213403 0.158415844
170 0.881 0.04900993799 -0.09536333996 0.1443732779
171 0.892 0.04786612801 -0.08026739661 0.1281335246
172 0.903 0.0467612569 -0.06285573392 0.1096169908
173 0.914 0.04569360609 -0.0430496105 0.0887432166
174 0.925 0.0446615492 -0.0207693199 0.0654308691
175 0.936 0.04366354618 0.004065809437 0.03959773674
176 0.947 0.04269813804 0.03153741412 0.01116072392
177 0.958 0.04176394185 0.06172809584 0.01996415399
178 0.969 0.04085964609 0.09472142137 0.05386177528
179 0.98 0.0399840064 0.1306019225 0.09061791615
180 0.991 0.03913584148 0.1694550963 0.1303192548
