# Numero de nodos n =4 
0 -0.98 -1 -0.81938176 0.18061824
1 -0.969 -1 -0.7250866921 0.2749133079
2 -0.958 -1 -0.6342660259 0.3657339741
3 -0.947 -1 -0.5468376866 0.4531623134
4 -0.936 -1 -0.4627205366 0.5372794634
5 -0.925 -1 -0.381834375 0.618165625
6 -0.914 -1 -0.3040999382 0.6959000618
7 -0.903 -1 -0.2294388994 0.7705611006
8 -0.892 -1 -0.1577738691 0.8422261309
9 -0.881 -1 -0.08902839446 0.9109716055
10 -0.87 -1 -0.02312696 0.97687304
11 -0.859 -1 0.0400050129 1.040005013
12 -0.848 -1 0.1004411658 1.100441166
13 -0.837 -1 0.1582542033 1.158254203
14 -0.826 -1 0.2135158929 1.213515893
15 -0.815 -1 0.266297065 1.266297065
16 -0.804 -1 0.3166676132 1.316667613
17 -0.793 -1 0.3646964939 1.364696494
18 -0.782 -1 0.4104517265 1.410451726
19 -0.771 -1 0.4540003934 1.454000393
20 -0.76 -1 0.49540864 1.49540864
21 -0.749 -1 0.5347416747 1.534741675
22 -0.738 -1 0.5720637687 1.572063769
23 -0.727 -1 0.6074382564 1.607438256
24 -0.716 -1 0.6409275351 1.640927535
25 -0.705 -1 0.672593065 1.672593065
26 -0.694 1 0.7024953693 0.2975046307
27 -0.683 1 0.7306940343 0.2693059657
28 -0.672 1 0.7572477092 0.2427522908
29 -0.661 1 0.782214106 0.217785894
30 -0.65 1 0.80565 0.19435
31 -0.639 1 0.8276112292 0.1723887708
32 -0.628 1 0.8481526948 0.1518473052
33 -0.617 1 0.8673283607 0.1326716393
34 -0.606 1 0.8851912541 0.1148087459
35 -0.595 1 0.901793465 0.098206535
36 -0.584 1 0.9171861463 0.0828138537
37 -0.573 1 0.931419514 0.06858048598
38 -0.562 1 0.9445428471 0.0554571529
39 -0.551 1 0.9566044875 0.04339551254
40 -0.54 1 0.96765184 0.03234816
41 -0.529 1 0.9777313726 0.02226862742
42 -0.518 1 0.9868886161 0.01311138394
43 -0.507 1 0.9951681643 0.004831835736
44 -0.496 1 1.002613674 0.002613673984
45 -0.485 1 1.009267865 0.009267865
46 -0.474 1 1.01517252 0.01517252006
47 -0.463 1 1.020368485 0.0203684849
48 -0.452 1 1.024895668 0.02489566822
49 -0.441 1 1.028793042 0.0287930417
50 -0.43 1 1.03209864 0.03209864
51 -0.419 1 1.034849561 0.03484956074
52 -0.408 1 1.037081965 0.03708196454
53 -0.397 1 1.038831075 0.03883107498
54 -0.386 1 1.040131179 0.04013117862
55 -0.375 1 1.041015625 0.041015625
56 -0.364 1 1.041516827 0.04151682662
57 -0.353 1 1.041666259 0.04166625898
58 -0.342 1 1.041494461 0.04149446054
59 -0.331 1 1.041031033 0.04103103274
60 -0.32 1 1.04030464 0.04030464
61 -0.309 1 1.03934301 0.0393430097
62 -0.298 1 1.038172932 0.03817293222
63 -0.287 1 1.036820261 0.0368202609
64 -0.276 1 1.035309912 0.03530991206
65 -0.265 1 1.033665865 0.033665865
66 -0.254 1 1.031911162 0.03191116198
67 -0.243 1 1.030067908 0.03006790826
68 -0.232 1 1.028157272 0.02815727206
69 -0.221 1 1.026199485 0.02619948458
70 -0.21 1 1.02421384 0.02421384
71 -0.199 1 1.022218695 0.02221869546
72 -0.188 1 1.020231471 0.0202314711
73 -0.177 1 1.01826865 0.01826865002
74 -0.166 1 1.016345778 0.0163457783
75 -0.155 1 1.014477465 0.014477465
76 -0.144 1 1.012677382 0.01267738214
77 -0.133 1 1.010958265 0.01095826474
78 -0.122 1 1.009331911 0.009331910784
79 -0.111 1 1.007809181 0.007809181224
80 -0.1 1 1.0064 0.0064
81 -0.089 1 1.005113354 0.005113354024
82 -0.078 1 1.003957293 0.003957293184
83 -0.067 1 1.00293893 0.002938930344
84 -0.056 1 1.002064441 0.002064441344
85 -0.045 1 1.001339065 0.001339065
86 -0.034 1 1.000767103 0.000767103104
87 -0.023 1 1.00035192 0.000351920424
88 -0.012 1 1.000095945 9.5944704E-05
89 -0.001 1 1.000000667 6.666640002E-07
90 0.01 1 1.00006664 6.664E-05
91 0.021 1 1.000293481 0.000293481384
92 0.032 1 1.00067987 0.000679870464
93 0.043 1 1.00122355 0.001223549864
94 0.054 1 1.001921325 0.001921325184
95 0.065 1 1.002769065 0.002769065
96 0.076 1 1.003761701 0.003761700864
97 0.087 1 1.004893227 0.004893227304
98 0.098 1 1.006156702 0.006156701824
99 0.109 1 1.007544245 0.007544244904
100 0.12 1 1.00904704 0.00904704
101 0.131 1 1.010655334 0.01065533354
102 0.142 1 1.012358435 0.01235843494
103 0.153 1 1.014144717 0.01414471658
104 0.164 1 1.016001614 0.01600161382
105 0.175 1 1.017915625 0.017915625
106 0.186 1 1.019872311 0.01987231142
107 0.197 1 1.021856297 0.02185629738
108 0.208 1 1.02385127 0.02385127014
109 0.219 1 1.02583998 0.02583997994
110 0.23 1 1.02780424 0.02780424
111 0.241 1 1.029724927 0.0297249265
112 0.252 1 1.031581979 0.03158197862
113 0.263 1 1.033354399 0.0333543985
114 0.274 1 1.035020251 0.03502025126
115 0.285 1 1.036556665 0.036556665
116 0.296 1 1.037939831 0.03793983078
117 0.307 1 1.039145003 0.03914500266
118 0.318 1 1.040146498 0.04014649766
119 0.329 1 1.040917696 0.04091769578
120 0.34 1 1.04143104 0.04143104
121 0.351 1 1.041658036 0.04165803626
122 0.362 1 1.041569254 0.0415692535
123 0.373 1 1.041134324 0.04113432362
124 0.384 1 1.040321942 0.0403219415
125 0.395 1 1.039099865 0.039099865
126 0.406 1 1.037434915 0.03743491494
127 0.417 1 1.035292975 0.03529297514
128 0.428 1 1.032638992 0.03263899238
129 0.439 1 1.029436976 0.02943697642
130 0.45 1 1.02565 0.02565
131 0.461 1 1.021240199 0.02124019882
132 0.472 1 1.016168772 0.01616877158
133 0.483 1 1.01039598 0.01039597994
134 0.494 1 1.003881149 0.003881148544
135 0.505 1 0.996582665 0.003417335
136 0.516 1 0.9884579799 0.0115420201
137 0.527 1 0.9794636068 0.02053639318
138 0.538 1 0.9695551223 0.0304448777
139 0.549 1 0.9586871659 0.04131283414
140 0.56 1 0.94681344 0.05318656
141 0.571 1 0.9338867102 0.06611328982
142 0.582 1 0.9198588049 0.08014119514
143 0.593 1 0.9046806155 0.09531938454
144 0.604 1 0.8883020964 0.1116979036
145 0.615 1 0.870672265 0.129327735
146 0.626 1 0.8517392017 0.1482607983
147 0.637 1 0.8314500497 0.1685499503
148 0.648 1 0.8097510154 0.1902489846
149 0.659 1 0.7865873681 0.2134126319
150 0.67 1 0.76190344 0.23809656
151 0.681 1 0.7356426263 0.2643573737
152 0.692 1 0.7077473853 0.2922526147
153 0.703 -1 0.6781592382 1.678159238
154 0.714 -1 0.646818769 1.646818769
155 0.725 -1 0.613665625 1.613665625
156 0.736 -1 0.5786385162 1.578638516
157 0.747 -1 0.5416752158 1.541675216
158 0.758 -1 0.5027125597 1.50271256
159 0.769 -1 0.4616864471 1.461686447
160 0.78 -1 0.41853184 1.41853184
161 0.791 -1 0.3731827633 1.373182763
