# Numero de nodos n =32 
0 -0.98 0.0399840064 0.0405109996 0.0005269932063
1 -0.969 0.04085964609 0.04064883634 0.0002108097496
2 -0.958 0.04176394185 0.04120416914 0.0005597727098
3 -0.947 0.04269813804 0.04258206455 0.0001160734911
4 -0.936 0.04366354618 0.04410904383 0.0004454976543
5 -0.925 0.0446615492 0.04522289474 0.0005613455452
6 -0.914 0.04569360609 0.04589765279 0.0002040466947
7 -0.903 0.0467612569 0.04646430998 0.0002969469148
8 -0.892 0.04786612801 0.04727554561 0.0005905824075
9 -0.881 0.04900993799 0.0484887651 0.000521172889
10 -0.87 0.0501945037 0.05003255396 0.0001619497374
11 -0.859 0.05142174703 0.05169927952 0.0002775324911
12 -0.848 0.05269370205 0.05327432488 0.0005806228272
13 -0.837 0.0540125228 0.05463343434 0.0006209115328
14 -0.826 0.05538049167 0.05577848229 0.0003979906267
15 -0.815 0.0568000284 0.05681590267 1.587426752E-05
16 -0.804 0.05827369991 0.05790111873 0.0003725811876
17 -0.793 0.05980423085 0.05917703918 0.0006271916747
18 -0.782 0.06139451501 0.06072831612 0.0006661988939
19 -0.771 0.06304762775 0.06256242231 0.0004852054482
20 -0.76 0.06476683938 0.06461766939 0.0001491699891
21 -0.749 0.06655562969 0.06679052825 0.0002348985637
22 -0.738 0.06841770377 0.06897094384 0.0005532400734
23 -0.727 0.07035700905 0.07107468306 0.0007176740022
24 -0.716 0.07237775397 0.07306466798 0.0006869140053
25 -0.705 0.0744844281 0.07495762665 0.0004731985535
26 -0.694 0.07668182411 0.07681660038 0.0001347762764
27 -0.683 0.07897506165 0.07873310054 0.0002419611115
28 -0.672 0.08136961333 0.08080446465 0.0005651486845
29 -0.661 0.08387133299 0.08311216852 0.0007591644654
30 -0.65 0.08648648649 0.08570577557 0.0007807109163
31 -0.639 0.08922178528 0.08859535742 0.0006264278604
32 -0.628 0.092084423 0.09175306902 0.0003313539829
33 -0.617 0.09508211529 0.09512262254 4.05072438E-05
34 -0.606 0.09822314334 0.09863398733 0.0004108439972
35 -0.595 0.1015164012 0.1022199409 0.000703539652
36 -0.584 0.1049714478 0.1058311146 0.0008596667889
37 -0.573 0.1085985627 0.1094468151 0.0008482524408
38 -0.562 0.1124088084 0.1130799505 0.0006711421897
39 -0.551 0.1164140966 0.1167756093 0.000361512767
40 -0.54 0.1206272618 0.1206040109 2.325083674E-05
41 -0.529 0.1250621403 0.1246494616 0.0004126786991
42 -0.518 0.1297336568 0.128997506 0.0007361507617
43 -0.507 0.1346579184 0.1337226007 0.0009353176458
44 -0.496 0.139852316 0.1388783794 0.0009739365339
45 -0.485 0.1453356345 0.1444920168 0.0008436176381
46 -0.474 0.1511281718 0.1505634357 0.0005647360532
47 -0.463 0.1572518664 0.1570692848 0.000182581572
48 -0.452 0.1637304342 0.1639708685 0.0002404342873
49 -0.441 0.1705895147 0.1712246386 0.0006351238475
50 -0.43 0.1778568253 0.1787935329 0.000936707601
51 -0.419 0.1855623234 0.1866573987 0.001095075248
52 -0.408 0.1937383757 0.1948209522 0.001082576476
53 -0.397 0.2024199303 0.2033181553 0.0008982249909
54 -0.386 0.2116446909 0.2122124616 0.0005677707273
55 -0.375 0.2214532872 0.2215930069 0.0001397196862
56 -0.364 0.2318894351 0.2315674038 0.0003220312868
57 -0.353 0.243000079 0.2422522736 0.0007478053989
58 -0.342 0.2548355037 0.2537629373 0.001072566336
59 -0.331 0.2674494019 0.266203778 0.001245623932
60 -0.32 0.2808988764 0.2796606504 0.001238226039
61 -0.309 0.2952443516 0.2941963986 0.00104795301
62 -0.298 0.3105493618 0.3098500715 0.0006992903406
63 -0.287 0.3268801739 0.3266398797 0.0002402942008
64 -0.276 0.3443051921 0.3445693802 0.000264188032
65 -0.265 0.3628940803 0.3636358767 0.0007417963684
66 -0.254 0.3827165219 0.3838396546 0.001123132708
67 -0.243 0.4038405234 0.4051924674 0.001351944009
68 -0.232 0.4263301501 0.427723692 0.001393541946
69 -0.221 0.4502425682 0.4514827709 0.00124020269
70 -0.21 0.4756242568 0.4765369414 0.0009126845443
71 -0.199 0.5025062499 0.5029637787 0.0004575287343
72 -0.188 0.5308982799 0.530838687 5.959288081E-05
73 -0.177 0.5607817297 0.5602181049 0.0005636248214
74 -0.166 0.5921013678 0.5911197673 0.0009816004591
75 -0.155 0.6247559547 0.6235018342 0.001254120517
76 -0.144 0.6585879874 0.6572429925 0.001344994846
77 -0.133 0.6933730867 0.6921257322 0.001247354514
78 -0.122 0.7288098535 0.7278248724 0.0009849811152
79 -0.111 0.7645113817 0.7639030735 0.000608308143
80 -0.1 0.8 0.7998145454 0.0001854546396
81 -0.089 0.8347071221 0.8349174929 0.0002103707276
82 -0.078 0.8679802101 0.8684950937 0.0005148836069
83 -0.067 0.8990986536 0.8997840402 0.000685386642
84 -0.056 0.9272997033 0.928008978 0.0007092747305
85 -0.045 0.9518143962 0.9524205926 0.0006061963855
86 -0.034 0.9719117504 0.9723347029 0.0004229524743
87 -0.023 0.9869476178 0.9871695371 0.0002219193434
88 -0.012 0.9964129135 0.9964784292 6.551568198E-05
89 -0.001 0.9999750006 0.9999754693 4.686564438E-07
90 0.01 0.9975062344 0.9975521495 4.591510053E-05
91 0.021 0.9890952251 0.9892837254 0.0001885002294
92 0.032 0.9750390016 0.9754248013 0.000385799728
