# Numero de nodos n =8 
0 -0.98 0.0399840064 -0.4780595354 0.5180435418
1 -0.969 0.04085964609 -0.6736770633 0.7145367094
2 -0.958 0.04176394185 -0.816649735 0.8584136769
3 -0.947 0.04269813804 -0.9141202702 0.9568184083
4 -0.936 0.04366354618 -0.972594582 1.016258128
5 -0.925 0.0446615492 -0.9979806422 1.042642191
6 -0.914 0.04569360609 -0.9956257586 1.041319365
7 -0.903 0.0467612569 -0.9703523029 1.01711356
8 -0.892 0.04786612801 -0.9264919286 0.9743580566
9 -0.881 0.04900993799 -0.8679183193 0.9169282573
10 -0.87 0.0501945037 -0.7980785031 0.8482730068
11 -0.859 0.05142174703 -0.7200227733 0.7714445204
12 -0.848 0.05269370205 -0.6364332513 0.6891269534
13 -0.837 0.0540125228 -0.5496511296 0.6036636524
14 -0.826 0.05538049167 -0.4617026304 0.5170831221
15 -0.815 0.0568000284 -0.3743237171 0.4311237455
16 -0.804 0.05827369991 -0.2889835927 0.3472572926
17 -0.793 0.05980423085 -0.2069070215 0.2667112523
18 -0.782 0.06139451501 -0.1290955079 0.1904900229
19 -0.771 0.06304762775 -0.05634736689 0.1193949946
20 -0.76 0.06476683938 0.01072328016 0.05404355922
21 -0.749 0.06655562969 0.07166855172 0.005112922031
22 -0.738 0.06841770377 0.1261898606 0.05777215687
23 -0.727 0.07035700905 0.1741219454 0.1037649364
24 -0.716 0.07237775397 0.2154178462 0.1430400922
25 -0.705 0.0744844281 0.2501347941 0.175650366
26 -0.694 0.07668182411 0.2784209826 0.2017391585
27 -0.683 0.07897506165 0.3005031917 0.22152813
28 -0.672 0.08136961333 0.3166752332 0.2353056199
29 -0.661 0.08387133299 0.3272871892 0.2434158562
30 -0.65 0.08648648649 0.3327354135 0.246248927
31 -0.639 0.08922178528 0.3334532684 0.2442314831
32 -0.628 0.092084423 0.329902568 0.237818145
33 -0.617 0.09508211529 0.3225657003 0.227483585
34 -0.606 0.09822314334 0.311938402 0.2137152587
35 -0.595 0.1015164012 0.298523158 0.1970067568
36 -0.584 0.1049714478 0.2828231996 0.1778517518
37 -0.573 0.1085985627 0.2653370763 0.1567385136
38 -0.562 0.1124088084 0.2465537756 0.1341449672
39 -0.551 0.1164140966 0.2269483648 0.1105342682
40 -0.54 0.1206272618 0.2069781325 0.08635087075
41 -0.529 0.1250621403 0.1870792039 0.06201706369
42 -0.518 0.1297336568 0.1676636076 0.03792995081
43 -0.507 0.1346579184 0.1491167702 0.0144588518
44 -0.496 0.139852316 0.1317954169 0.00805689908
45 -0.485 0.1453356345 0.1160258552 0.02930977929
46 -0.474 0.1511281718 0.1021026208 0.04902555105
47 -0.463 0.1572518664 0.09028746368 0.0669644027
48 -0.452 0.1637304342 0.080808655 0.08292177921
49 -0.441 0.1705895147 0.07386059293 0.09672892178
50 -0.43 0.1778568253 0.06960368909 0.1082531362
51 -0.419 0.1855623234 0.06816451547 0.117397808
52 -0.408 0.1937383757 0.06963619334 0.1241021824
53 -0.397 0.2024199303 0.07407900559 0.1283409247
54 -0.386 0.2116446909 0.08152121477 0.1301234761
55 -0.375 0.2214532872 0.09196006918 0.129493218
